"","FIPSCode","JurisdictionName","A1a","C1a","C1b","C4a","C4b","pct_counted","pct_rejected"
"1",500100000,"ARKANSAS COUNTY",10385,150,128,125,3,0.9765625,0.0234375
"2",500300000,"ASHLEY COUNTY",12578,241,214,181,5,0.845794392523365,0.0233644859813084
"3",500500000,"BAXTER COUNTY",28875,802,700,653,47,0.932857142857143,0.0671428571428571
"4",500700000,"BENTON COUNTY",143035,2505,2203,2031,172,0.92192464820699,0.0780753517930095
"5",500900000,"BOONE COUNTY",24402,532,503,473,30,0.940357852882704,0.0596421471172962
"6",501100000,"BRADLEY COUNTY",5476,115,112,101,11,0.901785714285714,0.0982142857142857
"7",501500000,"CARROLL COUNTY",15806,360,330,313,17,0.948484848484848,0.0515151515151515
"8",501700000,"CHICOT COUNTY",6436,355,355,350,5,0.985915492957746,0.0140845070422535
"9",501900000,"CLARK COUNTY",12392,351,313,311,2,0.993610223642173,0.00638977635782748
"10",502100000,"CLAY COUNTY",8350,118,118,112,6,0.949152542372881,0.0508474576271186
"11",502300000,"CLEBURNE COUNTY",18122,384,360,338,22,0.938888888888889,0.0611111111111111
"12",502700000,"COLUMBIA COUNTY",14487,302,283,283,0,1,0
"13",502900000,"CONWAY COUNTY",11346,386,338,307,31,0.908284023668639,0.0917159763313609
"14",503100000,"CRAIGHEAD COUNTY",59905,914,839,777,62,0.926102502979738,0.0738974970202622
"15",503300000,"CRAWFORD COUNTY",33430,502,453,424,29,0.93598233995585,0.0640176600441501
"16",503500000,"CRITTENDEN COUNTY",30461,719,522,522,197,1,0.377394636015326
"17",503700000,"CROSS COUNTY",10471,281,262,217,45,0.82824427480916,0.17175572519084
"18",503900000,"DALLAS COUNTY",4337,47,47,44,3,0.936170212765957,0.0638297872340425
"19",504500000,"FAULKNER COUNTY",75257,1135,1018,934,84,0.917485265225933,0.0825147347740668
"20",504700000,"FRANKLIN COUNTY",9896,168,168,163,5,0.970238095238095,0.0297619047619048
"21",504900000,"FULTON COUNTY",6787,165,157,152,5,0.968152866242038,0.0318471337579618
"22",505100000,"GARLAND COUNTY",65604,1447,1443,1396,47,0.967428967428967,0.0325710325710326
"23",505500000,"GREENE COUNTY",20878,249,194,100,94,0.515463917525773,0.484536082474227
"24",505700000,"HEMPSTEAD COUNTY",11860,346,333,328,5,0.984984984984985,0.015015015015015
"25",505900000,"HOT SPRING COUNTY",19409,278,278,257,21,0.924460431654676,0.0755395683453237
"26",506100000,"HOWARD COUNTY",7148,144,144,131,13,0.909722222222222,0.0902777777777778
"27",506500000,"IZARD COUNTY",8061,234,216,214,2,0.990740740740741,0.00925925925925926
"28",507100000,"JOHNSON COUNTY",14806,303,289,279,10,0.965397923875433,0.0346020761245675
"29",507300000,"LAFAYETTE COUNTY",4281,236,203,199,4,0.980295566502463,0.0197044334975369
"30",507700000,"LEE COUNTY",4948,212,197,183,14,0.928934010152284,0.0710659898477157
"31",507900000,"LINCOLN COUNTY",6037,148,138,125,13,0.905797101449275,0.0942028985507246
"32",508100000,"LITTLE RIVER COUNTY",7232,173,162,159,3,0.981481481481482,0.0185185185185185
"33",508300000,"LOGAN COUNTY",12718,158,152,144,8,0.947368421052632,0.0526315789473684
"34",508700000,"MADISON COUNTY",9769,154,149,132,17,0.885906040268456,0.114093959731544
"35",508900000,"MARION COUNTY",10076,360,360,312,48,0.866666666666667,0.133333333333333
"36",509100000,"MILLER COUNTY",25840,350,316,310,6,0.981012658227848,0.0189873417721519
"37",509300000,"MISSISSIPPI COUNTY",21542,473,407,400,7,0.982800982800983,0.0171990171990172
"38",509700000,"MONTGOMERY COUNTY",4945,159,148,142,6,0.959459459459459,0.0405405405405405
"39",510300000,"OUACHITA COUNTY",16726,290,263,254,9,0.965779467680608,0.0342205323193916
"40",510700000,"PHILLIPS COUNTY",13044,467,429,408,21,0.951048951048951,0.048951048951049
"41",510900000,"PIKE COUNTY",5560,133,133,123,10,0.924812030075188,0.075187969924812
"42",511100000,"POINSETT COUNTY",12550,193,179,170,9,0.949720670391061,0.0502793296089385
"43",511300000,"POLK COUNTY",12469,371,348,328,20,0.942528735632184,0.0574712643678161
"44",511500000,"POPE COUNTY",33765,482,431,417,14,0.967517401392111,0.0324825986078886
"45",511700000,"PRAIRIE COUNTY",4843,85,79,75,4,0.949367088607595,0.0506329113924051
"46",511900000,"PULASKI COUNTY",246876,4524,4394,4210,184,0.958124715521165,0.0418752844788348
"47",512100000,"RANDOLPH COUNTY",10332,262,250,244,6,0.976,0.024
"48",512500000,"SALINE COUNTY",75050,828,778,759,19,0.975578406169666,0.0244215938303342
"49",512900000,"SEARCY COUNTY",5587,158,158,138,20,0.873417721518987,0.126582278481013
"50",513100000,"SEBASTIAN COUNTY",74228,1240,1087,1053,34,0.968721251149954,0.031278748850046
"51",513300000,"SEVIER COUNTY",6684,118,114,111,3,0.973684210526316,0.0263157894736842
"52",513700000,"STONE COUNTY",7992,144,144,141,3,0.979166666666667,0.0208333333333333
"53",513900000,"UNION COUNTY",27899,510,469,446,23,0.950959488272921,0.0490405117270789
"54",514100000,"VAN BUREN COUNTY",10077,226,213,212,1,0.995305164319249,0.00469483568075117
"55",514300000,"WASHINGTON COUNTY",130374,1873,1656,1568,80,0.946859903381642,0.0483091787439614
"56",514500000,"WHITE COUNTY",43055,781,659,630,29,0.955993930197269,0.0440060698027314
"57",514700000,"WOODRUFF COUNTY",4496,57,56,54,2,0.964285714285714,0.0357142857142857
"58",514900000,"YELL COUNTY",10410,163,163,151,12,0.926380368098159,0.0736196319018405
